nom_estab,nombre_act,telefono,latitud,longitud,codigo_act,municipio
HOSPITAL DE MASCOTAS HIDALGO,Servicios veterinarios para mascotas prestados por el sector privado,2444459888,18.89522054,-98.43486122,541941,Atlixco
HOSPITAL DEL CACHORRO POBLANO,Servicios veterinarios para mascotas prestados por el sector privado,2227273571,19.00875599,-98.21764333,541941,Puebla
HOSPITAL VETERINARIA ANIMAL CENTER,Servicios veterinarios para mascotas prestados por el sector privado,2484925828,19.27899472,-98.43211395,541941,San Martín Texmelucan
HOSPITAL VETERINARIO,Servicios veterinarios para mascotas prestados por el sector privado,2222447347,19.01320727,-98.19189366,541941,Puebla
HOSPITAL VETERINARIO,Servicios veterinarios para mascotas prestados por el sector privado,2223337886,19.03015196,-98.20666045,541941,Puebla
HOSPITAL VETERINARIO ALPHA PUEBLA,Servicios veterinarios para mascotas prestados por el sector privado,2212867313,19.00935299,-98.19405838,541941,Puebla
HOSPITAL VETERINARIO ANIMAL,Servicios veterinarios para mascotas prestados por el sector privado,2224736276,19.0179966,-98.22458714,541941,Puebla
HOSPITAL VETERINARIO BALAM,Servicios veterinarios para mascotas prestados por el sector privado,2228409215,19.04946215,-98.21094638,541941,Puebla
HOSPITAL VETERINARIO CEUNI,Servicios veterinarios para mascotas prestados por el sector privado,2222374295,19.00837075,-98.19406707,541941,Puebla
HOSPITAL VETERINARIO DE ESPECIALIDADES DE LA SIERRA,Servicios veterinarios para mascotas prestados por el sector privado,2331513675,19.84123622,-97.497893,541941,Tlatlauquitepec
HOSPITAL VETERINARIO NATURA VIVA,Servicios veterinarios para mascotas prestados por el sector privado,2223255047,19.03024036,-98.19561519,541941,Puebla
HOSPITAL VETERINARIO PARA PEQUEÑAS ESPECIES,Servicios veterinarios para mascotas prestados por el sector público,2222295674,18.99854569,-98.20383076,541942,Puebla
HOSPITAL VETERINARIO PARAISO ANIMAL,Servicios veterinarios para mascotas prestados por el sector privado,2224123411,19.04627222,-98.2524062,541941,San Andrés Cholula
HOSPITAL VETERINARIO PASCAL,Servicios veterinarios para mascotas prestados por el sector privado,2223346140,19.02804373,-98.20851866,541941,Puebla
HOSPITAL VETERINARIO PASCAL,Servicios veterinarios para mascotas prestados por el sector privado,2221363271,18.98269928,-98.23279824,541941,Puebla
HOSPITAL VETERINARIO PAWS Y CLAWS,Servicios veterinarios para mascotas prestados por el sector privado,2229071686,19.01521081,-98.21373473,541941,Puebla
HOSPITAL VETERINARIO PET CARE,Servicios veterinarios para mascotas prestados por el sector privado,2214058538,19.02821252,-98.19637742,541941,Puebla
LA RUA HOSPITAL VETERINARIO,Servicios veterinarios para mascotas prestados por el sector privado,2228891650,19.0686911,-98.24961677,541941,Puebla
LE PETIT AMOUR CLINICA VETERINARIA,Servicios veterinarios para mascotas prestados por el sector privado,2215592237,19.03384486,-98.20762888,541941,Puebla
VETERINARIA ANIMAX CLINICA VETERINARIA,Servicios veterinarios para mascotas prestados por el sector privado,2221219696,19.02638123,-98.20462878,541941,Puebla
VETERINARIA CLINICA ESCOBAR,Servicios veterinarios para mascotas prestados por el sector privado,2222178358,19.07501567,-98.19221322,541941,Puebla
VETERINARIA CLINICA VETERINARIA PACIO,Servicios veterinarios para mascotas prestados por el sector privado,2231015903,19.05246414,-98.27403156,541941,Puebla
VETERINARIA PENSHOPS HOSPITAL,Servicios veterinarios para mascotas prestados por el sector privado,2223545114,19.17585582,-98.38569774,541941,Huejotzingo
