NOMBRE ,TIPO,ENTRE CALLES ,COLONIA,LATITUD,LONGITUD
OBREROS INDEPENDIENTES SUR 3,PARQUE,ENTRE AUTOPISTA MEXICO PUEBLA Y CIRCUITO OBREROS INDEPENDIENTES NORTE,OBREROS INDEPENDIENTES SUR,19.101606,-98.239794
SAN APARICIO LAS FUENTES,PARQUE,"ENTRE SONORA, MIGUEL HIDALGO Y BARRANCA",SAN APARICIO LAS FUENTES,19.086315,-98.167655
IGNACIO MARISCAL,PARQUE,ENTRE PROLONGACION IGNACIO MARISCAL Y LOS PINOS,IGNACIO MARISCAL,19.102599,-98.205556
3 DE MAYO,PARQUE,CALLE PRIMERO DE MAYO ENTRE 16 DE SEPTIEMBRE Y XALTONAC,3 DE MAYO,19.085592,-98.160888
VALLE DORADO 2,JARDIN VECINAL,ENTRE DIAGONAL CUAUHTEMOC Y 24 B PONIENTE,VALLE DORADO,19.067965,-98.213942
OBREROS INDEPENDIENTES SUR 8,PARQUE,ENTRE FLORENCIA Y CIRCUITO OBREROS INDEPENDIENTES DEL SUR,OBREROS INDEPENDIENTES SUR,19.101024,-98.241297
OBREROS INDEPENDIENTES SUR 5,PARQUE,ENTRE CIRCUITO ROMA Y CALLE MILAN,OBREROS INDEPENDIENTES SUR,19.099059,-98.239234
SAN JERONIMO CALERAS 4,AREA RECREATIVA,ENTRE CALLES JERUSALEN Y RICARDO FLORES MAGON,SAN JERONIMO CALERAS,19.09466,-98.213698
EL ROBLE 2,AREA VERDE,ENTRE 4 ORIENTE Y PRIVADA 10 NORTE,EL ROBLE I FRACCIONAMIENTO,19.102287,-98.224016
OBREROS INDEPENDIENTES SUR 13,PARQUE,ENTRE AUTOPISTA MEXICO PUEBLA Y CIRCUITO OBREROS INDEPENDIENTES NORTE,OBREROS INDEPENDIENTES SUR,19.101605,-98.239362
REFORMA AGUA AZUL,PARQUE,"3 SUR, ENTRE 95 PONIENTE Y 99 PONIENTE",REFORMA AGUA AZUL,18.996573,-98.22719
BARRIO DE ANALCO,PARQUE,ENTRE 8 SUR Y 11 ORIENTE,BARRIO DE ANALCO,19.037752,-98.195074
LOMAS DEL MARMOL 2,JARDIN VECINAL,"BLVD. CARRARA, ENTRE ESTATUARIO Y CAMINO AL BATAN",LOMAS DEL MARMOL,19.006152,-98.180664
LOMAS DEL MARMOL 1,JARDIN,"BLVD. SANTO TOMAS Y BLVD. BARDEG GLIO, ENTRE BLVD. BROCATEL Y ANDADOR A",LOMAS DEL MARMOL,19.003165,-98.182983
LOMAS DEL MARMOL 3,JARDIN,CALLE PORTORO Y BROCATEL,LOMAS DEL MARMOL,19.00288,-98.182841
U. H. LA MARGARITA 9,AREA VERDE,"BLVD. MUNICIPIO LIBRE, ENTRE BLVD. PORFIRIO Y BLVD. BROCATEL",LA MARGARITA INFONAVIT,18.999998,-98.185598
U. H. LA MARGARITA 6,AREA VERDE,BLVD. MUNICIPIO LIBRE  Y 61 ORIENTE,LA MARGARITA INFONAVIT,19.002733,-98.18559
